Performance Statistics   2019-07-11 18:36:00 - 2019-07-11 18:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sec$User.edit#init                                      43,0           4         158        66,4           4
sec$User.edit#inject                                     1,5           0          11         3,6           8
sec$User.edit#load                                     209,0          17         753       314,3           4
sec$User.edit#uiPermissions                              0,0           0           0         0,0           4
sec$User.edit#xml                                        1,1           0          17         3,7          20
sec$User.edit.windowActions#init                         0,0           0           0         0,0           4
sec$User.edit.windowActions#load                         0,0           0           0         0,0           4
sec$UserSubstitution.edit#afterShow                      0,0           0           0         0,0           1
sec$UserSubstitution.edit#beforeShow                     0,0           0           0         0,0           1
sec$UserSubstitution.edit#create                        94,0          94          94         0,0           1
sec$UserSubstitution.edit#init                           0,0           0           0         0,0           1
sec$UserSubstitution.edit#inject                         2,5           0           5         2,5           2
sec$UserSubstitution.edit#load                         289,0         289         289         0,0           1
sec$UserSubstitution.edit#uiPermissions                  0,0           0           0         0,0           1
sec$UserSubstitution.edit#xml                            8,0           0          40        16,0           5
sec$UserSubstitution.edit.windowActions#init             0,0           0           0         0,0           1
sec$UserSubstitution.edit.windowActions#load             0,0           0           0         0,0           1
